          %pt            int_Sj
       47.552    2.13718E-13
       47.600    2.11372E-13
       47.648    2.09054E-13
       47.696    2.06764E-13
       47.744    2.04501E-13
       47.792    2.02265E-13
       47.840    2.00055E-13
       47.888    1.97872E-13
       47.936    1.95714E-13
       47.984    1.93583E-13
       48.032    1.91476E-13
       48.080    1.89395E-13
       48.128    1.87338E-13
       48.176    1.85305E-13
       48.224    1.83296E-13
       48.272    1.81311E-13
       48.320    1.79350E-13
       48.368    1.77411E-13
       48.416    1.75496E-13
       48.464    1.73602E-13
       48.512    1.71731E-13
       48.560    1.69882E-13
       48.608    1.68055E-13
       48.656    1.66249E-13
       48.704    1.64464E-13
       48.752    1.62700E-13
       48.800    1.60957E-13
       48.848    1.59234E-13
       48.896    1.57531E-13
       48.944    1.55847E-13
       48.992    1.54184E-13
       49.040    1.52539E-13
       49.088    1.50914E-13
       49.136    1.49308E-13
       49.184    1.47720E-13
       49.232    1.46151E-13
       49.280    1.44599E-13
       49.328    1.43066E-13
       49.376    1.41550E-13
       49.424    1.40052E-13
       49.472    1.38571E-13
       49.520    1.37107E-13
       49.568    1.35660E-13
       49.616    1.34230E-13
       49.664    1.32816E-13
       49.712    1.31418E-13
       49.760    1.30036E-13
       49.808    1.28670E-13
       49.856    1.27319E-13
       49.904    1.25984E-13
       49.952    1.24665E-13
       50.000    1.23360E-13
