          %pt            TT            TS            SS            Tot
        4.868    2.29415E-09    4.09764E-08    1.28349E-08    5.61054E-08
        4.875    2.24530E-09    4.04311E-08    1.27324E-08    5.54088E-08
        4.881    2.19746E-09    3.98912E-08    1.26308E-08    5.47195E-08
        4.888    2.15061E-09    3.93567E-08    1.25301E-08    5.40374E-08
        4.894    2.10475E-09    3.88274E-08    1.24303E-08    5.33625E-08
        4.900    2.05983E-09    3.83035E-08    1.23314E-08    5.26947E-08
        4.907    2.01586E-09    3.77848E-08    1.22334E-08    5.20340E-08
        4.913    1.97280E-09    3.72713E-08    1.21361E-08    5.13803E-08
        4.920    1.93064E-09    3.67631E-08    1.20398E-08    5.07335E-08
        4.926    1.88935E-09    3.62600E-08    1.19443E-08    5.00936E-08
        4.933    1.84894E-09    3.57621E-08    1.18496E-08    4.94606E-08
        4.939    1.80936E-09    3.52693E-08    1.17557E-08    4.88344E-08
        4.946    1.77062E-09    3.47816E-08    1.16627E-08    4.82149E-08
        4.952    1.73268E-09    3.42990E-08    1.15705E-08    4.76021E-08
        4.958    1.69554E-09    3.38215E-08    1.14790E-08    4.69960E-08
        4.965    1.65917E-09    3.33489E-08    1.13884E-08    4.63965E-08
        4.971    1.62357E-09    3.28814E-08    1.12986E-08    4.58035E-08
        4.978    1.58872E-09    3.24188E-08    1.12095E-08    4.52170E-08
        4.984    1.55460E-09    3.19612E-08    1.11212E-08    4.46370E-08
        4.991    1.52119E-09    3.15085E-08    1.10337E-08    4.40634E-08
        4.997    1.48849E-09    3.10607E-08    1.09469E-08    4.34960E-08
        5.004    1.45647E-09    3.06177E-08    1.08608E-08    4.29350E-08
        5.010    1.42513E-09    3.01796E-08    1.07755E-08    4.23803E-08
        5.017    1.39444E-09    2.97463E-08    1.06910E-08    4.18317E-08
        5.023    1.36440E-09    2.93177E-08    1.06072E-08    4.12893E-08
        5.029    1.33500E-09    2.88939E-08    1.05241E-08    4.07530E-08
        5.036    1.30621E-09    2.84748E-08    1.04417E-08    4.02227E-08
        5.042    1.27804E-09    2.80604E-08    1.03600E-08    3.96985E-08
        5.049    1.25045E-09    2.76507E-08    1.02791E-08    3.91802E-08
        5.055    1.22345E-09    2.72456E-08    1.01988E-08    3.86678E-08
        5.062    1.19702E-09    2.68451E-08    1.01192E-08    3.81613E-08
        5.068    1.17115E-09    2.64492E-08    1.00403E-08    3.76606E-08
        5.075    1.14583E-09    2.60578E-08    9.96203E-09    3.71656E-08
        5.081    1.12104E-09    2.56709E-08    9.88449E-09    3.66764E-08
        5.087    1.09678E-09    2.52885E-08    9.80758E-09    3.61929E-08
        5.094    1.07303E-09    2.49106E-08    9.73134E-09    3.57149E-08
        5.100    1.04979E-09    2.45370E-08    9.65574E-09    3.52426E-08
        5.107    1.02703E-09    2.41679E-08    9.58082E-09    3.47758E-08
        5.113    1.00476E-09    2.38032E-08    9.50651E-09    3.43145E-08
        5.120    9.82968E-10    2.34428E-08    9.43283E-09    3.38586E-08
        5.126    9.61634E-10    2.30867E-08    9.35978E-09    3.34081E-08
        5.133    9.40754E-10    2.27348E-08    9.28736E-09    3.29629E-08
        5.139    9.20318E-10    2.23872E-08    9.21557E-09    3.25231E-08
        5.146    9.00318E-10    2.20439E-08    9.14436E-09    3.20885E-08
        5.152    8.80742E-10    2.17047E-08    9.07377E-09    3.16592E-08
        5.158    8.61584E-10    2.13697E-08    9.00377E-09    3.12350E-08
        5.165    8.42834E-10    2.10387E-08    8.93439E-09    3.08160E-08
        5.171    8.24485E-10    2.07119E-08    8.86558E-09    3.04020E-08
        5.178    8.06526E-10    2.03892E-08    8.79734E-09    2.99931E-08
        5.184    7.88951E-10    2.00705E-08    8.72968E-09    2.95891E-08
        5.191    7.71751E-10    1.97558E-08    8.66260E-09    2.91901E-08
        5.197    7.54919E-10    1.94450E-08    8.59611E-09    2.87961E-08
        5.204    7.38447E-10    1.91383E-08    8.53015E-09    2.84068E-08
        5.210    7.22327E-10    1.88354E-08    8.46475E-09    2.80224E-08
        5.216    7.06552E-10    1.85364E-08    8.39990E-09    2.76428E-08
        5.223    6.91114E-10    1.82412E-08    8.33559E-09    2.72679E-08
        5.229    6.76008E-10    1.79499E-08    8.27185E-09    2.68978E-08
        5.236    6.61225E-10    1.76624E-08    8.20863E-09    2.65322E-08
