          %pt            int_Sj
       34.400    7.99461E-12
       34.448    7.87362E-12
       34.496    7.75463E-12
       34.544    7.63758E-12
       34.592    7.52246E-12
       34.640    7.40922E-12
       34.688    7.29784E-12
       34.736    7.18828E-12
       34.784    7.08051E-12
       34.832    6.97450E-12
       34.880    6.87021E-12
       34.928    6.76763E-12
       34.976    6.66671E-12
       35.024    6.56742E-12
       35.072    6.46975E-12
       35.120    6.37366E-12
       35.168    6.27912E-12
       35.216    6.18610E-12
       35.264    6.09459E-12
       35.312    6.00454E-12
       35.360    5.91595E-12
       35.408    5.82877E-12
       35.456    5.74300E-12
       35.504    5.65860E-12
       35.552    5.57554E-12
       35.600    5.49382E-12
       35.648    5.41340E-12
       35.696    5.33426E-12
       35.744    5.25638E-12
       35.792    5.17973E-12
       35.840    5.10430E-12
       35.888    5.03007E-12
       35.936    4.95701E-12
       35.984    4.88510E-12
       36.032    4.81433E-12
       36.080    4.74467E-12
       36.128    4.67612E-12
       36.176    4.60864E-12
       36.224    4.54222E-12
       36.272    4.47684E-12
       36.320    4.41249E-12
       36.368    4.34914E-12
       36.416    4.28678E-12
       36.464    4.22539E-12
       36.512    4.16496E-12
       36.560    4.10547E-12
       36.608    4.04691E-12
       36.656    3.98925E-12
       36.704    3.93249E-12
       36.752    3.87661E-12
       36.800    3.82159E-12
       36.848    3.76742E-12
       36.896    3.71408E-12
       36.944    3.66157E-12
       36.992    3.60987E-12
       37.040    3.55896E-12
       37.088    3.50883E-12
       37.136    3.45947E-12
       37.184    3.41086E-12
       37.232    3.36300E-12
       37.280    3.31587E-12
       37.328    3.26946E-12
       37.376    3.22375E-12
       37.424    3.17874E-12
       37.472    3.13441E-12
       37.520    3.09076E-12
       37.568    3.04776E-12
       37.616    3.00542E-12
       37.664    2.96372E-12
       37.712    2.92265E-12
       37.760    2.88219E-12
       37.808    2.84235E-12
       37.856    2.80311E-12
       37.904    2.76445E-12
       37.952    2.72638E-12
       38.000    2.68887E-12
       38.048    2.65193E-12
       38.096    2.61554E-12
       38.144    2.57969E-12
       38.192    2.54438E-12
       38.240    2.50959E-12
       38.288    2.47532E-12
       38.336    2.44156E-12
       38.384    2.40830E-12
       38.432    2.37553E-12
       38.480    2.34325E-12
       38.528    2.31145E-12
       38.576    2.28011E-12
       38.624    2.24924E-12
       38.672    2.21882E-12
       38.720    2.18885E-12
       38.768    2.15933E-12
       38.816    2.13023E-12
       38.864    2.10156E-12
       38.912    2.07331E-12
       38.960    2.04548E-12
       39.008    2.01805E-12
       39.056    1.99102E-12
       39.104    1.96438E-12
       39.152    1.93813E-12
       39.200    1.91227E-12
       39.248    1.88677E-12
       39.296    1.86165E-12
       39.344    1.83690E-12
       39.392    1.81250E-12
       39.440    1.78845E-12
       39.488    1.76475E-12
       39.536    1.74140E-12
       39.584    1.71837E-12
       39.632    1.69568E-12
       39.680    1.67332E-12
       39.728    1.65128E-12
       39.776    1.62955E-12
       39.824    1.60813E-12
       39.872    1.58702E-12
       39.920    1.56622E-12
       39.968    1.54571E-12
       40.016    1.52549E-12
       40.064    1.50555E-12
       40.112    1.48591E-12
       40.160    1.46654E-12
       40.208    1.44744E-12
       40.256    1.42862E-12
       40.304    1.41006E-12
       40.352    1.39177E-12
       40.400    1.37373E-12
       40.448    1.35595E-12
       40.496    1.33841E-12
       40.544    1.32113E-12
       40.592    1.30409E-12
       40.640    1.28728E-12
       40.688    1.27072E-12
       40.736    1.25438E-12
       40.784    1.23827E-12
       40.832    1.22239E-12
       40.880    1.20673E-12
       40.928    1.19129E-12
       40.976    1.17606E-12
       41.024    1.16104E-12
       41.072    1.14624E-12
       41.120    1.13164E-12
       41.168    1.11724E-12
       41.216    1.10304E-12
       41.264    1.08903E-12
       41.312    1.07522E-12
       41.360    1.06160E-12
       41.408    1.04817E-12
       41.456    1.03493E-12
       41.504    1.02186E-12
       41.552    1.00897E-12
       41.600    9.96267E-13
       41.648    9.83733E-13
       41.696    9.71370E-13
       41.744    9.59176E-13
