2.76 TeV: chisq sums over 2 mesons(D0, Ds).
scan: gamma0: 1.0-3.0(+0.1), q0: 7.0-15.0(+0.5).

Parameters: 2.6, 8.5 | Error: 2.5206237203654
Parameters: 2.6, 9.0 | Error: 2.68382648807004
Parameters: 2.6, 9.5 | Error: 2.8404318288814503
Parameters: 2.6, 10.0 | Error: 2.98525060760599
Parameters: 2.6, 10.5 | Error: 3.11698337803265
Parameters: 2.6, 11.0 | Error: 3.23533434150871
Parameters: 2.6, 11.5 | Error: 3.3413616965559303
Parameters: 2.6, 12.0 | Error: 3.43590633255263
Parameters: 2.6, 12.5 | Error: 3.5203482902307197
Parameters: 2.6, 13.0 | Error: 3.5957369703086
Parameters: 2.6, 13.5 | Error: 3.6630950873809702
Parameters: 2.6, 14.0 | Error: 3.72360940638623
Parameters: 2.6, 14.5 | Error: 3.77787018425551
Parameters: 2.6, 15.0 | Error: 3.82671362627149
Parameters: 2.7, 7.0 | Error: 2.1645796330137204
Parameters: 2.7, 7.5 | Error: 2.2580689383247297
Parameters: 2.7, 8.0 | Error: 2.4102842748338302
Parameters: 2.7, 8.5 | Error: 2.58046701853606
Parameters: 2.7, 9.0 | Error: 2.74910469416202
Parameters: 2.7, 9.5 | Error: 2.90767719950813
Parameters: 2.7, 10.0 | Error: 3.05264791491759
Parameters: 2.7, 10.5 | Error: 3.1831996844207398
Parameters: 2.7, 11.0 | Error: 3.29980996687655
Parameters: 2.7, 11.5 | Error: 3.4035745712843797
Parameters: 2.7, 12.0 | Error: 3.49597065961916
Parameters: 2.7, 12.5 | Error: 3.5782124487954903
Parameters: 2.7, 13.0 | Error: 3.6514123276543
Parameters: 2.7, 13.5 | Error: 3.71684016879301
Parameters: 2.7, 14.0 | Error: 3.77532429240532
Parameters: 2.7, 14.5 | Error: 3.82772052131478
Parameters: 2.7, 15.0 | Error: 3.87490728039645
Parameters: 2.8, 7.0 | Error: 2.1695133689879738
Parameters: 2.8, 7.5 | Error: 2.29474546913494
Parameters: 2.8, 8.0 | Error: 2.46377145712757
Parameters: 2.8, 8.5 | Error: 2.6423954873546602
Parameters: 2.8, 9.0 | Error: 2.8146200147694103
Parameters: 2.8, 9.5 | Error: 2.97403828051545
Parameters: 2.8, 10.0 | Error: 3.11812465989517
Parameters: 2.8, 10.5 | Error: 3.24696560580498
Parameters: 2.8, 11.0 | Error: 3.36145804067682
Parameters: 2.8, 11.5 | Error: 3.4630281352809
Parameters: 2.8, 12.0 | Error: 3.5532133646399
Parameters: 2.8, 12.5 | Error: 3.63309780562927
Parameters: 2.8, 13.0 | Error: 3.70417183519806
Parameters: 2.8, 13.5 | Error: 3.76750390678565
Parameters: 2.8, 14.0 | Error: 3.8240802881805003
Parameters: 2.8, 14.5 | Error: 3.87475335715966
Parameters: 2.8, 15.0 | Error: 3.92031695417731
Parameters: 2.9, 7.0 | Error: 2.1875750079668848
Parameters: 2.9, 7.5 | Error: 2.3383582443128
Parameters: 2.9, 8.0 | Error: 2.52044067319839
Parameters: 2.9, 8.5 | Error: 2.7049881705566703
Parameters: 2.9, 9.0 | Error: 2.87939221564076
Parameters: 2.9, 9.5 | Error: 3.0386125086265903
Parameters: 2.9, 10.0 | Error: 3.1814277658742203
Parameters: 2.9, 10.5 | Error: 3.30828555257907
Parameters: 2.9, 11.0 | Error: 3.42044651976763
Parameters: 2.9, 11.5 | Error: 3.51974937123865
Parameters: 2.9, 12.0 | Error: 3.60739330839885
Parameters: 2.9, 12.5 | Error: 3.6850490175659303
Parameters: 2.9, 13.0 | Error: 3.75401570222769
Parameters: 2.9, 13.5 | Error: 3.8153847518174198
Parameters: 2.9, 14.0 | Error: 3.87010292200842
Parameters: 2.9, 14.5 | Error: 3.91901159061909
Parameters: 2.9, 15.0 | Error: 3.9629902485569497
Parameters: 3.0, 7.0 | Error: 2.215451601191604
Parameters: 3.0, 7.5 | Error: 2.38684131213233
Parameters: 3.0, 8.0 | Error: 2.57888977815732
Parameters: 3.0, 8.5 | Error: 2.76769379339445
Parameters: 3.0, 9.0 | Error: 2.94324607501401
Parameters: 3.0, 9.5 | Error: 3.10146705522819
Parameters: 3.0, 10.0 | Error: 3.24238311229709
Parameters: 3.0, 10.5 | Error: 3.3669650900182
Parameters: 3.0, 11.0 | Error: 3.4767635442914697
Parameters: 3.0, 11.5 | Error: 3.57348870477642
Parameters: 3.0, 12.0 | Error: 3.6588331098689397
Parameters: 3.0, 12.5 | Error: 3.73428715642304
Parameters: 3.0, 13.0 | Error: 3.80115242289199
Parameters: 3.0, 13.5 | Error: 3.86049951618509
Parameters: 3.0, 14.0 | Error: 3.91337822330312
Parameters: 3.0, 14.5 | Error: 3.96069309494977
Parameters: 3.0, 15.0 | Error: 4.00312046326139
The best parameters:
PAR(1) = 2.7
PAR(2) = 7.0
Minimal chisq: 2.1645796330137204
