          %pt            TT            TS            SS            Tot
        0.787    1.01308E-01    5.20772E-04    1.34129E-04    1.01963E-01
        0.801    1.00243E-01    5.39562E-04    1.35951E-04    1.00918E-01
        0.815    9.91602E-02    5.58857E-04    1.37778E-04    9.98568E-02
        0.828    9.80611E-02    5.78673E-04    1.39612E-04    9.87794E-02
        0.842    9.69460E-02    5.99023E-04    1.41453E-04    9.76865E-02
        0.856    9.58157E-02    6.19924E-04    1.43301E-04    9.65789E-02
        0.870    9.46709E-02    6.41392E-04    1.45157E-04    9.54574E-02
        0.884    9.35124E-02    6.63442E-04    1.47022E-04    9.43229E-02
        0.898    9.23411E-02    6.86091E-04    1.48896E-04    9.31761E-02
        0.912    9.11577E-02    7.09355E-04    1.50779E-04    9.20178E-02
        0.926    8.99631E-02    7.33251E-04    1.52672E-04    9.08490E-02
        0.940    8.87581E-02    7.57795E-04    1.54576E-04    8.96705E-02
        0.954    8.75437E-02    7.83005E-04    1.56491E-04    8.84832E-02
        0.967    8.63205E-02    8.08897E-04    1.58418E-04    8.72879E-02
        0.981    8.50896E-02    8.35488E-04    1.60356E-04    8.60855E-02
        0.995    8.38518E-02    8.62795E-04    1.62307E-04    8.48769E-02
        1.009    8.26079E-02    8.90835E-04    1.64271E-04    8.36630E-02
        1.023    8.13589E-02    9.19623E-04    1.66248E-04    8.24447E-02
        1.037    8.01055E-02    9.49177E-04    1.68239E-04    8.12229E-02
        1.051    7.88487E-02    9.79512E-04    1.70244E-04    7.99984E-02
        1.065    7.75892E-02    1.01064E-03    1.72264E-04    7.87722E-02
        1.079    7.63281E-02    1.04259E-03    1.74298E-04    7.75449E-02
        1.093    7.50659E-02    1.07536E-03    1.76348E-04    7.63176E-02
        1.106    7.38037E-02    1.10898E-03    1.78412E-04    7.50911E-02
        1.120    7.25422E-02    1.14345E-03    1.80493E-04    7.38661E-02
        1.134    7.12822E-02    1.17879E-03    1.82589E-04    7.26436E-02
        1.148    7.00244E-02    1.21501E-03    1.84700E-04    7.14241E-02
        1.162    6.87697E-02    1.25212E-03    1.86828E-04    7.02087E-02
        1.176    6.75188E-02    1.29014E-03    1.88973E-04    6.89979E-02
        1.190    6.62724E-02    1.32908E-03    1.91133E-04    6.77926E-02
        1.204    6.50312E-02    1.36893E-03    1.93309E-04    6.65935E-02
        1.218    6.37959E-02    1.40972E-03    1.95502E-04    6.54011E-02
        1.232    6.25672E-02    1.45146E-03    1.97710E-04    6.42163E-02
        1.245    6.13456E-02    1.49413E-03    1.99935E-04    6.30397E-02
        1.259    6.01319E-02    1.53776E-03    2.02175E-04    6.18719E-02
        1.273    5.89266E-02    1.58234E-03    2.04431E-04    6.07134E-02
        1.287    5.77303E-02    1.62788E-03    2.06701E-04    5.95649E-02
        1.301    5.65436E-02    1.67438E-03    2.08987E-04    5.84269E-02
        1.315    5.53669E-02    1.72183E-03    2.11287E-04    5.73000E-02
        1.329    5.42007E-02    1.77024E-03    2.13602E-04    5.61846E-02
        1.343    5.30456E-02    1.81960E-03    2.15929E-04    5.50811E-02
        1.357    5.19020E-02    1.86990E-03    2.18270E-04    5.39902E-02
        1.371    5.07703E-02    1.92115E-03    2.20624E-04    5.29121E-02
        1.384    4.96509E-02    1.97332E-03    2.22988E-04    5.18472E-02
        1.398    4.85443E-02    2.02642E-03    2.25364E-04    5.07960E-02
        1.412    4.74507E-02    2.08042E-03    2.27751E-04    4.97588E-02
        1.426    4.63704E-02    2.13532E-03    2.30146E-04    4.87359E-02
        1.440    4.53039E-02    2.19109E-03    2.32551E-04    4.77275E-02
        1.454    4.42513E-02    2.24772E-03    2.34963E-04    4.67340E-02
        1.468    4.32130E-02    2.30519E-03    2.37381E-04    4.57556E-02
        1.482    4.21892E-02    2.36347E-03    2.39805E-04    4.47925E-02
        1.496    4.11801E-02    2.42255E-03    2.42234E-04    4.38449E-02
        1.510    4.01859E-02    2.48239E-03    2.44666E-04    4.29129E-02
        1.523    3.92067E-02    2.54296E-03    2.47100E-04    4.19967E-02
        1.537    3.82427E-02    2.60424E-03    2.49534E-04    4.10965E-02
        1.551    3.72942E-02    2.66619E-03    2.51969E-04    4.02123E-02
        1.565    3.63610E-02    2.72877E-03    2.54401E-04    3.93442E-02
        1.579    3.54435E-02    2.79195E-03    2.56830E-04    3.84923E-02
        1.593    3.45416E-02    2.85568E-03    2.59254E-04    3.76565E-02
        1.607    3.36554E-02    2.91993E-03    2.61672E-04    3.68370E-02
        1.621    3.27849E-02    2.98464E-03    2.64082E-04    3.60336E-02
        1.635    3.19302E-02    3.04977E-03    2.66482E-04    3.52465E-02
        1.649    3.10913E-02    3.11527E-03    2.68871E-04    3.44755E-02
        1.662    3.02682E-02    3.18109E-03    2.71247E-04    3.37205E-02
        1.676    2.94608E-02    3.24717E-03    2.73609E-04    3.29815E-02
        1.690    2.86691E-02    3.31345E-03    2.75953E-04    3.22585E-02
        1.704    2.78931E-02    3.37988E-03    2.78280E-04    3.15512E-02
        1.718    2.71327E-02    3.44639E-03    2.80586E-04    3.08596E-02
        1.732    2.63878E-02    3.51293E-03    2.82870E-04    3.01836E-02
        1.746    2.56583E-02    3.57942E-03    2.85129E-04    2.95229E-02
        1.760    2.49442E-02    3.64579E-03    2.87363E-04    2.88774E-02
        1.774    2.42454E-02    3.71198E-03    2.89568E-04    2.82469E-02
        1.788    2.35616E-02    3.77791E-03    2.91743E-04    2.76313E-02
        1.801    2.28929E-02    3.84352E-03    2.93885E-04    2.70303E-02
        1.815    2.22390E-02    3.90871E-03    2.95993E-04    2.64437E-02
        1.829    2.15998E-02    3.97342E-03    2.98064E-04    2.58713E-02
        1.843    2.09752E-02    4.03757E-03    3.00097E-04    2.53129E-02
        1.857    2.03650E-02    4.10107E-03    3.02089E-04    2.47681E-02
        1.871    1.97690E-02    4.16384E-03    3.04037E-04    2.42369E-02
        1.885    1.91871E-02    4.22579E-03    3.05940E-04    2.37188E-02
        1.899    1.86190E-02    4.28685E-03    3.07796E-04    2.32137E-02
        1.913    1.80647E-02    4.34692E-03    3.09602E-04    2.27212E-02
        1.927    1.75238E-02    4.40592E-03    3.11355E-04    2.22411E-02
        1.940    1.69963E-02    4.46375E-03    3.13055E-04    2.17731E-02
        1.954    1.64819E-02    4.52033E-03    3.14699E-04    2.13170E-02
        1.968    1.59805E-02    4.57557E-03    3.16283E-04    2.08723E-02
        1.982    1.54917E-02    4.62937E-03    3.17807E-04    2.04389E-02
        1.996    1.50155E-02    4.68165E-03    3.19268E-04    2.00164E-02
        2.010    1.45515E-02    4.73230E-03    3.20664E-04    1.96045E-02
        2.024    1.40997E-02    4.78125E-03    3.21993E-04    1.92029E-02
        2.038    1.36597E-02    4.82840E-03    3.23252E-04    1.88114E-02
        2.052    1.32314E-02    4.87366E-03    3.24439E-04    1.84295E-02
        2.066    1.28146E-02    4.91694E-03    3.25553E-04    1.80571E-02
        2.079    1.24090E-02    4.95814E-03    3.26592E-04    1.76938E-02
        2.093    1.20145E-02    4.99719E-03    3.27552E-04    1.73392E-02
        2.107    1.16307E-02    5.03399E-03    3.28434E-04    1.69931E-02
        2.121    1.12575E-02    5.06845E-03    3.29233E-04    1.66552E-02
        2.135    1.08948E-02    5.10050E-03    3.29949E-04    1.63252E-02
        2.149    1.05421E-02    5.13005E-03    3.30580E-04    1.60028E-02
        2.163    1.01995E-02    5.15702E-03    3.31124E-04    1.56876E-02
        2.177    9.86656E-03    5.18133E-03    3.31579E-04    1.53795E-02
        2.191    9.54317E-03    5.20290E-03    3.31943E-04    1.50780E-02
        2.205    9.22910E-03    5.22167E-03    3.32216E-04    1.47830E-02
        2.218    8.92414E-03    5.23757E-03    3.32395E-04    1.44941E-02
        2.232    8.62809E-03    5.25052E-03    3.32479E-04    1.42111E-02
        2.246    8.34073E-03    5.26048E-03    3.32467E-04    1.39337E-02
        2.260    8.06187E-03    5.26737E-03    3.32357E-04    1.36616E-02
        2.274    7.79131E-03    5.27115E-03    3.32148E-04    1.33946E-02
        2.288    7.52885E-03    5.27176E-03    3.31839E-04    1.31325E-02
        2.302    7.27430E-03    5.26917E-03    3.31428E-04    1.28749E-02
        2.316    7.02745E-03    5.26334E-03    3.30916E-04    1.26217E-02
        2.330    6.78812E-03    5.25422E-03    3.30301E-04    1.23726E-02
        2.344    6.55612E-03    5.24180E-03    3.29582E-04    1.21275E-02
        2.357    6.33127E-03    5.22605E-03    3.28759E-04    1.18861E-02
        2.371    6.11338E-03    5.20695E-03    3.27830E-04    1.16482E-02
        2.385    5.90227E-03    5.18450E-03    3.26797E-04    1.14136E-02
        2.399    5.69777E-03    5.15870E-03    3.25657E-04    1.11821E-02
        2.413    5.49971E-03    5.12955E-03    3.24412E-04    1.09537E-02
        2.427    5.30790E-03    5.09707E-03    3.23061E-04    1.07280E-02
        2.441    5.12219E-03    5.06126E-03    3.21603E-04    1.05051E-02
        2.455    4.94240E-03    5.02218E-03    3.20040E-04    1.02846E-02
        2.469    4.76839E-03    4.97984E-03    3.18371E-04    1.00666E-02
        2.483    4.59998E-03    4.93430E-03    3.16597E-04    9.85087E-03
        2.496    4.43702E-03    4.88561E-03    3.14718E-04    9.63735E-03
        2.510    4.27937E-03    4.83384E-03    3.12735E-04    9.42594E-03
        2.524    4.12686E-03    4.77905E-03    3.10649E-04    9.21656E-03
        2.538    3.97936E-03    4.72134E-03    3.08461E-04    9.00915E-03
        2.552    3.83672E-03    4.66078E-03    3.06171E-04    8.80367E-03
        2.566    3.69879E-03    4.59749E-03    3.03782E-04    8.60007E-03
        2.580    3.56546E-03    4.53158E-03    3.01294E-04    8.39833E-03
        2.594    3.43657E-03    4.46316E-03    2.98708E-04    8.19843E-03
        2.608    3.31200E-03    4.39237E-03    2.96028E-04    8.00039E-03
        2.622    3.19162E-03    4.31934E-03    2.93254E-04    7.80422E-03
